process,init,remove_even,cancel_Bcast,cache
1,0.20637755,0.08248305,0.08154485,0.07345515
2,0.13305385,0.04608245,0.045924,0.03756895
3,0.1099265,0.0327615,0.0314721,0.0256688
4,0.10438445,0.0269528,0.02662525,0.02125085
5,0.09095555,0.0259355,0.0240629,0.0169496
6,0.09013085,0.0226627,0.0207316,0.0142308
7,0.08696005,0.01985135,0.0184227,0.0161546
8,0.06994975,0.0180298,0.0163177,0.01460675
9,0.0601176,0.01733945,0.0173334,0.01472365
10,0.05129295,0.0169741,0.0160759,0.01258395
11,0.04461635,0.01938125,0.013532,0.0117825
12,0.04027005,0.01636255,0.01358055,0.0099397
13,0.04139615,0.01785435,0.0130875,0.0105405
14,0.04039855,0.01521345,0.0119452,0.00973105
15,0.03378335,0.01498855,0.01171135,0.0089885
16,0.0386051,0.01553265,0.0142855,0.01036785
17,0.04453545,0.01556865,0.01280095,0.01115695
18,0.0372742,0.0161681,0.0117972,0.01167915
19,0.03567595,0.0206865,0.01301515,0.0124637
20,0.03812325,0.0158886,0.0123853,0.0102852
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,2.50206012,2.530847135,2.809572236
2,1.551082889,4.478441359,4.493893171,5.493300984
3,1.877413999,6.29939258,6.557476304,8.040015505
4,1.977090936,7.656998531,7.751196702,9.711496246
5,2.268993481,7.957338397,8.576586779,12.175954
6,2.28975484,9.106485547,9.954733354,14.50217486
7,2.373245531,10.39614686,11.2023509,12.77515692
8,2.950368658,11.44646918,12.64746564,14.12891643
9,3.432897355,11.90219701,11.90635132,14.01673838
10,4.023507129,12.15837953,12.83769804,16.40006119
11,4.625603618,10.64830958,15.25107523,17.51559941
12,5.124839676,12.61279874,15.19655316,20.76295562
13,4.985428597,11.55895062,15.76905826,19.5794839
14,5.108538549,13.56546674,17.27702759,21.20814814
15,6.108853918,13.76901368,17.62201198,22.96017689
16,5.345862334,13.28669287,14.4466452,19.90553008
17,4.634006168,13.25596953,16.12204954,18.49766737
18,5.53673989,12.76448995,17.49377395,17.67059675
19,5.784780784,9.976436323,15.85671698,16.55828927
20,5.413430125,12.98903302,16.66310465,20.0654873
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,2.50206012,2.530847135,2.809572236
2,0.775541444,2.239220679,2.246946586,2.746650492
3,0.625804666,2.099797527,2.185825435,2.680005168
4,0.494272734,1.914249633,1.937799176,2.427874062
5,0.453798696,1.591467679,1.715317356,2.435190801
6,0.381625807,1.517747591,1.659122226,2.417029143
7,0.339035076,1.485163837,1.600335843,1.825022417
8,0.368796082,1.430808647,1.580933204,1.766114553
9,0.381433039,1.322466335,1.322927925,1.557415375
10,0.402350713,1.215837953,1.283769804,1.640006119
11,0.42050942,0.968028143,1.386461384,1.592327219
12,0.427069973,1.051066562,1.26637943,1.730246302
13,0.383494507,0.889150048,1.213004482,1.506114146
14,0.364895611,0.96896191,1.234073399,1.514867725
15,0.407256928,0.917934245,1.174800799,1.53067846
16,0.334116396,0.830418304,0.902915325,1.24409563
17,0.272588598,0.779762913,0.948355855,1.088098081
18,0.307596661,0.709138331,0.97187633,0.981699819
19,0.304462147,0.525075596,0.834564052,0.871488909
20,0.270671506,0.649451651,0.833155232,1.003274365
