process,init,remove_even,cancel_Bcast,cache
1,37.2706306,19.8259725,19.3390319,9.3249149
2,26.3354221,13.17260505,12.6362374,4.54691495
3,22.8465248,11.0822486,11.0192051,2.89195795
4,21.3926885,10.3498505,10.23892985,2.1475883
5,20.0729848,9.7697794,9.665531,1.70988435
6,19.3302676,9.3438182,9.35089955,1.41593305
7,18.63599195,9.188399,9.0824294,1.2352795
8,18.29473505,8.969625,8.93940285,1.11506185
9,18.3114753,8.94129315,8.9180396,1.1064934
10,18.28125385,8.8877968,8.8876414,1.0522679
11,18.2596806,8.8625982,8.89118725,1.02915
12,18.04939595,8.8536897,8.80761065,1.04801885
13,17.96024105,8.8319976,8.79929375,1.0996271
14,18.01740085,8.83343475,8.72649745,1.05048655
15,17.91851655,8.75376105,8.7541008,1.0686434
16,17.921768,8.75135445,8.71250245,1.0084623
17,18.0123928,8.78664755,8.7154094,0.99762045
18,17.89390365,8.7775726,8.72118675,1.0118736
19,17.840253,8.76834385,8.6910922,1.0099522
20,17.8242805,8.73642795,8.6207274,1.00454895
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,1.87988915,1.927223182,3.996886942
2,1.415228146,2.829404697,2.949503829,8.196905157
3,1.631347915,3.363092811,3.382333867,12.88768068
4,1.742213495,3.601079127,3.640090434,17.35464409
5,1.856755783,3.814889679,3.856035494,21.79716459
6,1.928096981,3.988800917,3.985780234,26.32231136
7,1.999927382,4.056270369,4.103597062,30.1718199
8,2.037232597,4.155204995,4.169252827,33.42472043
9,2.03537017,4.168371395,4.179240312,33.68355437
10,2.03873492,4.193461151,4.193534474,35.41933627
11,2.041143622,4.205384218,4.191862071,36.21496439
12,2.064923984,4.209615636,4.231639213,35.56293916
13,2.075174297,4.219954793,4.235638866,33.89388148
14,2.068590853,4.21926823,4.270972497,35.47939819
15,2.080006484,4.257670547,4.257505305,34.87658334
16,2.079629119,4.258841396,4.277833012,36.95788192
17,2.069165991,4.241735018,4.276406178,37.35952947
18,2.082867513,4.246120459,4.273573273,36.83328688
19,2.089131281,4.250589534,4.288371328,36.90336097
20,2.09100337,4.266117779,4.32337422,37.10185611
,,,,
process,init,remove_even,cancel_Bcast,cache
1,1,1.87988915,1.927223182,3.996886942
2,0.707614073,1.414702348,1.474751915,4.098452578
3,0.543782638,1.121030937,1.127444622,4.29589356
4,0.435553374,0.900269782,0.910022608,4.338661023
5,0.371351157,0.762977936,0.771207099,4.359432917
6,0.321349497,0.664800153,0.664296706,4.387051893
7,0.285703912,0.579467196,0.586228152,4.310259986
8,0.254654075,0.519400624,0.521156603,4.178090054
9,0.226152241,0.463152377,0.464360035,3.742617152
10,0.203873492,0.419346115,0.419353447,3.541933627
11,0.185558511,0.382307656,0.38107837,3.29226949
12,0.172076999,0.350801303,0.352636601,2.963578263
13,0.159628792,0.324611907,0.325818374,2.607221652
14,0.14775649,0.301376302,0.305069464,2.534242728
15,0.138667099,0.283844703,0.283833687,2.325105556
16,0.12997682,0.266177587,0.267364563,2.30986762
17,0.121715647,0.249513825,0.251553305,2.19761938
18,0.115714862,0.235895581,0.237420737,2.046293716
19,0.109954278,0.223715239,0.225703754,1.942282156
20,0.104550169,0.213305889,0.216168711,1.855092806
